logged_at,actor_login,transitions_count_24h
2026-05-10T15:28:48Z,head_dev_2,1
2026-05-10T15:35:48Z,head_dev_2,1
2026-05-10T15:35:48Z,user1,1
2026-05-10T15:38:18Z,head_dev,1
2026-05-10T15:38:18Z,head_dev_2,1
2026-05-10T15:38:18Z,user1,1
2026-05-10T15:40:18Z,head_dev,2
2026-05-10T15:40:18Z,head_dev_2,1
2026-05-10T15:40:18Z,user1,1
2026-05-10T15:41:08Z,head_dev,2
2026-05-10T15:41:08Z,head_acc_1,1
2026-05-10T15:41:08Z,head_dev_2,1
2026-05-10T15:41:08Z,user1,1
2026-05-10T16:16:13Z,head_dev,2
2026-05-10T16:16:13Z,head_acc_1,1
2026-05-10T16:16:13Z,head_dev_2,1
2026-05-10T16:16:13Z,user1,1
2026-05-10T16:16:53Z,head_dev,2
2026-05-10T16:16:53Z,user1,2
2026-05-10T16:16:53Z,head_acc_1,1
2026-05-10T16:16:53Z,head_dev_2,1
2026-05-10T16:19:33Z,head_dev,3
2026-05-10T16:19:33Z,user1,2
2026-05-10T16:19:33Z,head_acc_1,1
2026-05-10T16:19:33Z,head_dev_2,1
2026-05-10T16:33:14Z,head_dev,3
2026-05-10T16:33:14Z,user1,2
2026-05-10T16:33:14Z,head_acc_1,1
2026-05-10T16:33:14Z,head_dev_2,1
2026-05-10T16:36:56Z,head_dev,3
2026-05-10T16:36:56Z,user1,2
2026-05-10T16:36:56Z,head_acc_1,1
2026-05-10T16:36:56Z,head_dev_2,1
