logged_at,hour_bucket,transitions_count
2026-04-25T23:00:00Z,2026-04-25T23:00:00,1
2026-05-02T13:00:00Z,2026-05-02T13:00:00,6
2026-05-10T15:00:00Z,2026-05-10T15:00:00,5
2026-05-10T16:16:13Z,2026-05-10 15:00:00,5
2026-05-10T16:16:53Z,2026-05-10 15:00:00,5
2026-05-10T16:16:53Z,2026-05-10 16:00:00,1
2026-05-10T16:19:33Z,2026-05-10 15:00:00,5
2026-05-10T16:19:33Z,2026-05-10 16:00:00,2
2026-05-10T16:33:14Z,2026-05-10 15:00:00,5
2026-05-10T16:33:14Z,2026-05-10 16:00:00,2
2026-05-10T16:36:56Z,2026-05-10 15:00:00,5
2026-05-10T16:36:56Z,2026-05-10 16:00:00,2
