logged_at,service_uptime_seconds,go_goroutines,go_heap_alloc_bytes,go_heap_objects,workflow_documents_total,workflow_transitions_total,transitions_last_24h,documents_draft,documents_pending_visa,documents_pending_boss,documents_approved,documents_rejected,documents_updated_last_24h,active_actors_last_24h
2026-05-10T15:13:35Z,900,11,1639248,9795,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:14:35Z,960,11,1690792,10185,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:15:35Z,1020,11,1724904,10549,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:16:35Z,1080,11,1759176,10916,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:17:35Z,1140,11,1792920,11277,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:18:35Z,1200,11,1826664,11638,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:19:00Z,0,9,972872,3306,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:21:58Z,0,11,931448,3492,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:22:08Z,10,11,1047352,4012,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:22:18Z,20,11,1081008,4357,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:22:28Z,30,11,1114400,4696,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:22:38Z,40,11,1147808,5036,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:22:48Z,50,11,1181488,5379,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:22:58Z,60,11,1214896,5719,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:23:08Z,70,11,1248288,6058,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:23:18Z,80,11,1281696,6398,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:23:28Z,90,11,1315200,6739,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:23:38Z,100,11,1348608,7079,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:23:48Z,110,11,1382000,7418,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:23:58Z,120,11,1415392,7757,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:24:08Z,130,11,1449088,8100,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:24:18Z,140,11,1482496,8440,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:24:28Z,150,11,1516000,8781,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:24:38Z,160,11,1549792,9125,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:24:48Z,170,11,1583200,9465,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:24:58Z,180,11,1616608,9805,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:25:08Z,190,11,1650016,10145,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:25:18Z,200,11,1683408,10484,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:25:28Z,210,11,1716912,10825,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:25:38Z,220,11,1750416,11166,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:25:48Z,230,11,1783968,11508,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:25:58Z,240,11,1817360,11847,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:26:08Z,250,11,1850816,12188,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:26:18Z,260,11,1884320,12529,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:26:28Z,270,11,1917744,12870,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:26:38Z,280,11,1951168,13211,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:26:48Z,290,11,1984592,13552,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:26:58Z,300,11,2018016,13893,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:27:08Z,310,11,2051776,14237,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:27:18Z,320,11,2085184,14577,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:27:28Z,330,11,2118608,14918,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:27:38Z,340,11,2152032,15259,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:27:48Z,350,11,2185456,15600,6,7,0,3,1,0,2,0,0,0
2026-05-10T15:27:58Z,360,11,2218880,15941,6,7,0,3,1,0,2,0,0,0
