logged_at,metric_name,metric_value
2026-05-10T15:13:35Z,approval_rate_24h_percent,0.00
2026-05-10T15:13:35Z,rejection_rate_24h_percent,0.00
2026-05-10T15:28:48Z,approval_rate_24h_percent,0.00
2026-05-10T15:28:48Z,rejection_rate_24h_percent,0.00
2026-05-10T15:41:08Z,approval_rate_24h_percent,20.00
2026-05-10T15:41:08Z,rejection_rate_24h_percent,0.00
2026-05-10T16:16:13Z,approval_rate_24h_percent,20.00
2026-05-10T16:16:13Z,rejection_rate_24h_percent,0.00
2026-05-10T16:16:53Z,approval_rate_24h_percent,16.67
2026-05-10T16:16:53Z,rejection_rate_24h_percent,0.00
2026-05-10T16:19:33Z,approval_rate_24h_percent,28.57
2026-05-10T16:19:33Z,rejection_rate_24h_percent,0.00
2026-05-10T16:33:14Z,approval_rate_24h_percent,28.57
2026-05-10T16:33:14Z,rejection_rate_24h_percent,0.00
2026-05-10T16:36:56Z,approval_rate_24h_percent,28.57
2026-05-10T16:36:56Z,rejection_rate_24h_percent,0.00
2026-05-10T16:43:32Z,approval_rate_24h_percent,0
2026-05-10T16:43:32Z,rejection_rate_24h_percent,0
2026-05-10T22:35:51Z,approval_rate_24h_percent,0
2026-05-10T22:35:51Z,rejection_rate_24h_percent,0
