logged_at,state,documents_count
2026-05-10T15:13:35Z,DRAFT,3
2026-05-10T15:13:35Z,PENDING_VISA,1
2026-05-10T15:13:35Z,PENDING_BOSS,0
2026-05-10T15:13:35Z,APPROVED,2
2026-05-10T15:13:35Z,REJECTED,0
2026-05-10T15:28:48Z,DRAFT,2
2026-05-10T15:28:48Z,PENDING_VISA,1
2026-05-10T15:28:48Z,PENDING_BOSS,1
2026-05-10T15:28:48Z,APPROVED,2
2026-05-10T15:28:48Z,REJECTED,0
2026-05-10T15:35:48Z,DRAFT,2
2026-05-10T15:35:48Z,PENDING_VISA,2
2026-05-10T15:35:48Z,PENDING_BOSS,1
2026-05-10T15:35:48Z,APPROVED,2
2026-05-10T15:35:48Z,REJECTED,0
2026-05-10T15:38:18Z,DRAFT,3
2026-05-10T15:38:18Z,PENDING_VISA,1
2026-05-10T15:38:18Z,PENDING_BOSS,1
2026-05-10T15:38:18Z,APPROVED,2
2026-05-10T15:38:18Z,REJECTED,0
2026-05-10T15:40:18Z,DRAFT,2
2026-05-10T15:40:18Z,PENDING_VISA,1
2026-05-10T15:40:18Z,PENDING_BOSS,2
2026-05-10T15:40:18Z,APPROVED,2
2026-05-10T15:40:18Z,REJECTED,0
2026-05-10T15:41:08Z,DRAFT,2
2026-05-10T15:41:08Z,PENDING_VISA,1
2026-05-10T15:41:08Z,PENDING_BOSS,1
2026-05-10T15:41:08Z,APPROVED,3
2026-05-10T15:41:08Z,REJECTED,0
2026-05-10T16:16:13Z,APPROVED,3
2026-05-10T16:16:13Z,DRAFT,2
2026-05-10T16:16:13Z,PENDING_BOSS,1
2026-05-10T16:16:13Z,PENDING_VISA,1
2026-05-10T16:16:53Z,APPROVED,3
2026-05-10T16:16:53Z,DRAFT,1
2026-05-10T16:16:53Z,PENDING_BOSS,1
2026-05-10T16:16:53Z,PENDING_VISA,2
2026-05-10T16:19:33Z,APPROVED,4
2026-05-10T16:19:33Z,DRAFT,1
2026-05-10T16:19:33Z,PENDING_BOSS,1
2026-05-10T16:19:33Z,PENDING_VISA,1
2026-05-10T16:33:14Z,APPROVED,4
2026-05-10T16:33:14Z,DRAFT,1
2026-05-10T16:33:14Z,PENDING_BOSS,1
2026-05-10T16:33:14Z,PENDING_VISA,1
2026-05-10T16:36:56Z,APPROVED,4
2026-05-10T16:36:56Z,DRAFT,1
2026-05-10T16:36:56Z,PENDING_BOSS,1
2026-05-10T16:36:56Z,PENDING_VISA,1
