logged_at,from_state,to_state,transitions_count_24h
2026-05-10T15:28:48Z,DRAFT,PENDING_BOSS,1
2026-05-10T15:35:48Z,DRAFT,PENDING_BOSS,1
2026-05-10T15:35:48Z,DRAFT,PENDING_VISA,1
2026-05-10T15:38:18Z,DRAFT,PENDING_BOSS,1
2026-05-10T15:38:18Z,DRAFT,PENDING_VISA,1
2026-05-10T15:38:18Z,PENDING_VISA,DRAFT,1
2026-05-10T15:40:18Z,DRAFT,PENDING_BOSS,2
2026-05-10T15:40:18Z,DRAFT,PENDING_VISA,1
2026-05-10T15:40:18Z,PENDING_VISA,DRAFT,1
2026-05-10T15:41:08Z,DRAFT,PENDING_BOSS,2
2026-05-10T15:41:08Z,DRAFT,PENDING_VISA,1
2026-05-10T15:41:08Z,PENDING_BOSS,APPROVED,1
2026-05-10T15:41:08Z,PENDING_VISA,DRAFT,1
2026-05-10T16:16:13Z,DRAFT,PENDING_BOSS,2
2026-05-10T16:16:13Z,DRAFT,PENDING_VISA,1
2026-05-10T16:16:13Z,PENDING_BOSS,APPROVED,1
2026-05-10T16:16:13Z,PENDING_VISA,DRAFT,1
2026-05-10T16:16:53Z,DRAFT,PENDING_BOSS,2
2026-05-10T16:16:53Z,DRAFT,PENDING_VISA,2
2026-05-10T16:16:53Z,PENDING_BOSS,APPROVED,1
2026-05-10T16:16:53Z,PENDING_VISA,DRAFT,1
2026-05-10T16:19:33Z,DRAFT,PENDING_BOSS,2
2026-05-10T16:19:33Z,DRAFT,PENDING_VISA,2
2026-05-10T16:19:33Z,PENDING_BOSS,APPROVED,1
2026-05-10T16:19:33Z,PENDING_VISA,APPROVED,1
2026-05-10T16:19:33Z,PENDING_VISA,DRAFT,1
2026-05-10T16:33:14Z,DRAFT,PENDING_BOSS,2
2026-05-10T16:33:14Z,DRAFT,PENDING_VISA,2
2026-05-10T16:33:14Z,PENDING_BOSS,APPROVED,1
2026-05-10T16:33:14Z,PENDING_VISA,APPROVED,1
2026-05-10T16:33:14Z,PENDING_VISA,DRAFT,1
2026-05-10T16:36:56Z,DRAFT,PENDING_BOSS,2
2026-05-10T16:36:56Z,DRAFT,PENDING_VISA,2
2026-05-10T16:36:56Z,PENDING_BOSS,APPROVED,1
2026-05-10T16:36:56Z,PENDING_VISA,APPROVED,1
2026-05-10T16:36:56Z,PENDING_VISA,DRAFT,1
