transition_id,document_id,actor_login,from_state,to_state,revision_note,created_at
1,4,head_dev,DRAFT,PENDING_VISA,,2026-04-25T23:32:13Z
2,6,admin,DRAFT,PENDING_BOSS,cross-dept check,2026-05-02T13:26:41Z
3,6,admin,PENDING_BOSS,APPROVED,,2026-05-02T13:26:41Z
4,8,admin,DRAFT,PENDING_BOSS,reject-flow check,2026-05-02T13:26:49Z
5,8,admin,PENDING_BOSS,DRAFT,need fixes,2026-05-02T13:26:49Z
6,9,head_hr_2,DRAFT,PENDING_BOSS,абобаабоба,2026-05-02T13:33:07Z
7,9,head_acc_1,PENDING_BOSS,APPROVED,,2026-05-02T13:40:20Z
8,8,head_dev_2,DRAFT,PENDING_BOSS,абоба,2026-05-10T15:28:44Z
9,10,user1,DRAFT,PENDING_VISA,норм?,2026-05-10T15:35:47Z
10,10,head_dev,PENDING_VISA,DRAFT,николы теслы 17 танки,2026-05-10T15:38:16Z
11,10,head_dev,DRAFT,PENDING_BOSS,cross-2,2026-05-10T15:40:11Z
12,10,head_acc_1,PENDING_BOSS,APPROVED,,2026-05-10T15:41:05Z
13,7,user1,DRAFT,PENDING_VISA,нормально?,2026-05-10T16:16:48Z
14,7,head_dev,PENDING_VISA,APPROVED,,2026-05-10T16:19:29Z
